"","Var1","Var2","form"
"387","RezudR","Indicatif.Present.je","X-u.[0u]-"
"388","savwaR","Indicatif.Present.je","X-3"
"389","sEvRe","Indicatif.Present.je","X-3.[3E]-"
"390","t3R","Indicatif.Present.je","X-3.[3y]-"
"391","vulwaR","Indicatif.Present.je","X-8"
"392","puvwaR","Indicatif.Present.je","X-8"
"393","pl6vwaR","Indicatif.Present.je","X-8.[68y]-"
"394","deSwaR","Indicatif.Present.je","X-w.[wy]-a"
"396","SwaR","Indicatif.Present.je","X-w.[wy]-a"
"397","A~kl0R","Indicatif.Present.je","X-o.[0o]-"
"398","RA~tR3R","Indicatif.Present.je","X-"
"399","SoviR","Indicatif.Present.je","X-i"
"400","dekl0R","Indicatif.Present.je","X-o.[0o]-"
"401","suRdR","Indicatif.Present.je","X-"
"402","ZeziR","Indicatif.Present.je","X-i.[ei]-"
"403","fRiR","Indicatif.Present.je","X-"
"407","feRiR","Indicatif.Present.je","X-j.[ej]-3.[3R]-R"
"417","aute","Indicatif.Present.tu","X-"
"418","Ete","Indicatif.Present.tu","X-3.[3E]-"
"419","fwiR","Indicatif.Present.tu","X-"
"420","abatR","Indicatif.Present.tu","X-"
"421","A~bYe","Indicatif.Present.tu","X-y.[yY]-"
"422","Able","Indicatif.Present.tu","X-"
"423","ablye","Indicatif.Present.tu","X-"
"424","A~bReje","Indicatif.Present.tu","X-3.[3e]-"
"425","abReZe","Indicatif.Present.tu","X-3.[3e]-"
"426","abwaje","Indicatif.Present.tu","X-"
"427","A~bwaR","Indicatif.Present.tu","X-w.[wy]-a"
"428","A~bwe","Indicatif.Present.tu","X-u.[uw]-"
"429","A~d0RmiR","Indicatif.Present.tu","X-"
"430","A~dYiR","Indicatif.Present.tu","X-"
"431","adZw3~dR","Indicatif.Present.tu","X-3.[3a]-~.[~N]-"
"432","A~fYiR","Indicatif.Present.tu","X-"
"433","afilje","Indicatif.Present.tu","X-i.[ij]-"
"434","A~fjevRe","Indicatif.Present.tu","X-3.[3e]-"
"435","A~fR3~dR","Indicatif.Present.tu","X-~.[~N]-"
"436","agRee","Indicatif.Present.tu","X-"
"437","aiR","Indicatif.Present.tu","X-3.[3a]-"
"438","akeRiR","Indicatif.Present.tu","X-j3R"
"439","ak6jiR","Indicatif.Present.tu","X-"
"440","akRwatR.1","Indicatif.Present.tu","X-w.[wy]-a"
"441","akuRiR","Indicatif.Present.tu","X-"
"442","ale.1","Indicatif.Present.tu","X-v.[aiv]-a"
"443","apaR3tR","Indicatif.Present.tu","X-3.[3y]-"
"444","apA~dR","Indicatif.Present.tu","X-"
"445","apaRtEniR","Indicatif.Present.tu","X-j.[3Ej]-3.[~3n]-~"
"446","ap3RsEvwaR","Indicatif.Present.tu","X-w.[Ewy]-a"
"447","apRA~dR","Indicatif.Present.tu","X-A~"
"448","apR0pRije","Indicatif.Present.tu","X-"
"449","asA~tiR","Indicatif.Present.tu","X-"
"450","asizEle","Indicatif.Present.tu","X-3.[3El]-l.[3l]-"
"451","aswaR.1","Indicatif.Present.tu","X-je"
"452","atniR","Indicatif.Present.tu","X-j.[3jn]-3~"
"453","A~tREm3tR","Indicatif.Present.tu","X-3.[3i]-"
"454","A~tREvwaR","Indicatif.Present.tu","X-wa"
"455","A~tRuvRiR","Indicatif.Present.tu","X-R.[3R]-"
"456","A~vwaje","Indicatif.Present.tu","X-w.[3w]-a.[aR]-"
"457","apstR3R","Indicatif.Present.tu","X-"
"458","apsudR","Indicatif.Present.tu","X-u.[0u]-"
"459","aSve","Indicatif.Present.tu","X-3.[3v]-v"
"460","A~sYivR","Indicatif.Present.tu","X-"
"461","bujiR","Indicatif.Present.tu","X-"
"462","dediR","Indicatif.Present.tu","X-"
"463","defajiR","Indicatif.Present.tu","X-"
"464","def3R","Indicatif.Present.tu","X-3"
"465","dekRiR","Indicatif.Present.tu","X-"
"466","dekudR","Indicatif.Present.tu","X-"
"467","denwajote","Indicatif.Present.tu","X-0.[0o]-"
"468","depl3R","Indicatif.Present.tu","X-3.[3ay]-"
"469","depuRvwaR","Indicatif.Present.tu","X-w.[wy]-a"
"470","des3RviR","Indicatif.Present.tu","X-"
"471","dev3tiR","Indicatif.Present.tu","X-"
"472","diR","Indicatif.Present.tu","X-"
"473","ekivalwar","Indicatif.Present.tu","X-o.[ao]-"
"474","3~klyR","Indicatif.Present.tu","X-"
"475","eliR","Indicatif.Present.tu","X-i.[iy]-"
"476","emuvwaR","Indicatif.Present.tu","X-8"
"477","emudR","Indicatif.Present.tu","X-"
"478","3~teR0~pR","Indicatif.Present.tu","X-"
"479","3tR","Indicatif.Present.tu","3"
"480","fajiR","Indicatif.Present.tu","X-o.[ao]-"
"481","fazeje","Indicatif.Present.tu","X-3.[3e]-"
"482","futR","Indicatif.Present.tu","X-"
"483","k0~v3~kR","Indicatif.Present.tu","X-"
"484","muRiR","Indicatif.Present.tu","X-6.[06u]-"
"485","n3tR.1","Indicatif.Present.tu","X-3.[3ae]-"
"486","p3tR","Indicatif.Present.tu","X-3.[3y]-"
"487","pRevalwaR","Indicatif.Present.tu","X-o.[ao]-"
"488","pRevwaR","Indicatif.Present.tu","X-w.[iwy]-a"
"489","RavwaR","Indicatif.Present.tu","X-a"
"490","REvivR","Indicatif.Present.tu","X-i.[ei]-"
"491","RezudR","Indicatif.Present.tu","X-u.[0u]-"
"492","savwaR","Indicatif.Present.tu","X-3"
"493","sEvRe","Indicatif.Present.tu","X-3.[3E]-"
"494","t3R","Indicatif.Present.tu","X-3.[3y]-"
"495","vulwaR","Indicatif.Present.tu","X-8"
"496","puvwaR","Indicatif.Present.tu","X-8"
"497","pl6vwaR","Indicatif.Present.tu","X-8.[68y]-"
"498","deSwaR","Indicatif.Present.tu","X-w.[wy]-a"
"500","SwaR","Indicatif.Present.tu","X-w.[wy]-a"
"501","A~kl0R","Indicatif.Present.tu","X-o.[0o]-"
"502","RA~tR3R","Indicatif.Present.tu","X-"
"503","SoviR","Indicatif.Present.tu","X-i"
"504","dekl0R","Indicatif.Present.tu","X-o.[0o]-"
"505","suRdR","Indicatif.Present.tu","X-"
"506","ZeziR","Indicatif.Present.tu","X-i.[ei]-"
"507","fRiR","Indicatif.Present.tu","X-"
"511","feRiR","Indicatif.Present.tu","X-j.[ej]-3.[3R]-R"
"521","aute","Indicatif.Present.il.elle.on","X-"
"522","Ete","Indicatif.Present.il.elle.on","X-3.[3E]-"
"523","fwiR","Indicatif.Present.il.elle.on","X-"
"524","abatR","Indicatif.Present.il.elle.on","X-"
"525","A~bYe","Indicatif.Present.il.elle.on","X-y.[yY]-"
"526","Able","Indicatif.Present.il.elle.on","X-"
"527","ablye","Indicatif.Present.il.elle.on","X-"
"528","A~bReje","Indicatif.Present.il.elle.on","X-3.[3e]-"
"529","abReZe","Indicatif.Present.il.elle.on","X-3.[3e]-"
"530","abwaje","Indicatif.Present.il.elle.on","X-"
"531","A~bwaR","Indicatif.Present.il.elle.on","X-w.[wy]-a"
"532","A~bwe","Indicatif.Present.il.elle.on","X-u.[uw]-"
"533","A~d0RmiR","Indicatif.Present.il.elle.on","X-"
"534","A~dYiR","Indicatif.Present.il.elle.on","X-"
"535","adZw3~dR","Indicatif.Present.il.elle.on","X-3.[3a]-~.[~N]-"
"536","A~fYiR","Indicatif.Present.il.elle.on","X-"
"537","afilje","Indicatif.Present.il.elle.on","X-i.[ij]-"
"538","A~fjevRe","Indicatif.Present.il.elle.on","X-3.[3e]-"
